Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/inter10shuttle.txt,0.1,0.1,strong,uniform,8,1.186976,0.283091,0.294801,0.003689,0.013701,500,15432,172,191,330,3145,14703,43.617669,99.990805,5.802299,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,strong,frequent,8,115.031083,11.740699,102.615671,0.703860,112.456135,30861,461617,434,2622,30707,227705,267916,35.537248,99.983908,10.068966,0.009195,0.006897
StandardDS/inter10shuttle.txt,0.1,0.1,strong,area-based,8,123.173704,12.430267,110.066003,0.747272,120.468565,32630,479419,442,2704,32472,238238,276129,34.985323,99.981609,10.843678,0.009195,0.006897
StandardDS/chess.txt,0.1,0.1,weak,uniform,8,0.042620,0.007770,0.007592,0.000000,0.001041,48,1278,48,48,29,2,1116,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/chess.txt,0.1,0.1,weak,frequent,8,0.041331,0.007913,0.007194,0.000000,0.001228,48,1357,49,49,67,13,1162,30.211872,73.372966,24.687109,1.345432,0.469337
StandardDS/chess.txt,0.1,0.1,weak,area-based,8,0.042422,0.007685,0.007457,0.000000,0.001110,48,1270,48,48,29,1,1121,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/census.txt,0.1,0.1,weak,uniform,8,0.225418,0.030954,0.012421,0.000000,0.002340,41,1006,41,41,29,3,810,5.039695,16.430531,1.707547,0.047091,0.030711
StandardDS/census.txt,0.1,0.1,weak,frequent,8,25.510947,1.027983,24.278296,0.000000,25.104439,41,168527,522,643,12247,963,80381,0.708081,1.412719,0.022522,0.002047,0.002047
StandardDS/census.txt,0.1,0.1,weak,area-based,8,683.072749,5.460879,677.392716,0.000000,680.750729,41,4464892,2631,3744,84068,6895,2060635,0.186461,0.192457,0.016379,0.002047,0.002047
StandardDS/connect.txt,0.1,0.1,strong,uniform,8,0.861257,0.020569,0.776838,0.000451,0.748056,155,7290,120,121,29,118,1,31.582664,97.535309,9.858765,0.000000,0.000000
StandardDS/connect.txt,0.1,0.1,strong,frequent,8,9506.307781,53.898520,9452.170494,47.238607,9405.289350,435495,179374915,10574,46462,437076,2287429,1,0.935460,1.356965,0.249238,0.041540,0.027693
StandardDS/connect.txt,0.1,0.1,strong,area-based,8,9289.127353,53.399380,9235.486746,46.205147,9187.390448,431117,177719241,10403,46462,432103,2306023,1,0.949456,1.384658,0.249238,0.041540,0.027693
StandardDS/chess.txt,0.1,0.1,strong,uniform,8,0.153107,0.043055,0.081441,0.019165,0.041699,4741,15504,70,446,4709,13885,8796,24.198105,61.952441,14.486859,0.469337,0.000000
StandardDS/chess.txt,0.1,0.1,strong,frequent,8,2738.207351,38.673157,2699.387490,34.985417,2660.295928,418346,117585690,6264,46388,419541,5427882,1779907,6.701165,15.675845,3.973717,0.907384,0.531915
StandardDS/chess.txt,0.1,0.1,strong,area-based,8,2673.619607,38.661462,2634.811467,34.435464,2595.821800,415863,116287259,6203,46388,417006,5376912,1736484,6.466480,15.331665,3.754693,0.876095,0.500626
StandardDS/census.txt,0.1,0.1,strong,uniform,8,0.321446,0.038209,0.099942,0.003389,0.085593,750,2620,47,95,710,1469,1581,4.397114,16.430531,1.345154,0.000000,0.000000
